Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
2065975	10.0	5890.0	21496.0	209.36893944325513	2.45	261.0	0.2	0.6114318919628933	1.0	0.0	0.0	0.0011458452958322588	0.0011458452958322588	0.012064610829042978	111.59471819400791	0.36183676877990345	111.95655510425568	27.990284651517868	1.3776735089719288	30603.0	106.28214124610354	2.7	95.0	0.0	0.34767981844497253	4292.604408740997	645.1739747524261	475.95379233614267	3122.88329577446	524.5471382141113	566.4193018592533	50.0	2065975.0
2078348	10.0	5930.0	21596.0	263.54553456747044	2.9	309.0	0.35	0.7545774214952083	1.0	0.0	0.0	0.0026240664916026345	0.0026240664916026345	0.011597659072883303	81.21452301106555	0.39077889653755016	81.60530205990405	20.40394959043949	1.3754498026472464	30781.0	127.08647766235026	2.6	103.0	0.0	0.4001594046655401	4316.9079694747925	648.08220744133	475.4088238534033	3141.303683757782	527.5220782756805	566.4886082919529	49.0	2078348.0
2091887	10.0	5970.0	21776.0	290.56830244705804	5.6	338.0	0.4	0.78945525888064	0.9298368298368298	0.1003333333333333	-0.00023544360883533957	0.00948268870439885	0.006981231598504057	0.029381245189385174	90.6652280807495	0.6901355391989158	91.35536349614459	22.845822072029105	1.3738220006227488	30937.0	149.7910236530152	3.2	122.0	0.0	0.45552607479119783	4343.877869606018	651.723629951477	474.63830645979624	3162.5287187099457	529.6255209445953	566.5762761297125	48.0	2091887.0
2105310	10.0	6010.0	22075.5	264.60155153363684	9.25	335.0	0.375	0.7357659370274284	0.6503876130848871	0.8618382352941183	-8.488024867998032e-05	0.0014945473487708058	0.0007013298840140935	0.006400108338971667	90.00705077601417	1.3568666678871604	91.36391729467059	22.84168065295499	1.3700215454195064	31095.0	112.07262779421885	1.2	97.0	0.0	0.3730027872568033	4374.829054355621	654.4981307983398	474.11288955324716	3187.5036914348602	532.8272321224213	565.893207689965	47.0	2105310.0
2119023	10.0	6050.0	22428.5	299.0273175027296	6.2	342.0	0.44999999999999996	0.8385139774693826	1.0	0.0	0.0	0.00034682017878436	0.00034682017878436	0.006709657931664105	92.83477121029264	1.0948813114807299	93.9296523939889	23.48275997053904	1.3652848061525604	31315.0	199.958199857972	2.9	139.0	0.1	0.548724199977386	4404.324020624161	659.1127529144287	472.9039130585097	3208.972541809082	536.23872590065	565.7953179489986	46.0	2119023.0
2130944	10.0	6090.0	22613.0	248.7812855368192	3.9000000000000004	297.5	0.35	0.7023453042566035	1.0	0.0	0.0	0.0017899170052260165	0.0017899170052260165	0.011792602261921723	99.08154505380193	0.7332961016930408	99.81484089726987	24.955500116999847	1.3594604367795196	31493.5	170.88375893464215	5.1	134.0	0.1	0.45348412328589127	4429.174104213715	663.1959757804871	472.02638651657907	3226.9812121391296	538.9969162940979	565.8407795603804	45.0	2130944.0
2143363	10.0	6130.0	22781.0	269.4739433173046	4.625	310.0	0.4	0.7681416715091356	0.9737009274552155	0.030441176470588215	-6.269306842503803e-05	0.00707842136817366	0.006384276867193256	0.01760102392804315	97.78304284360225	0.6069367933674021	98.38998002765557	24.60387927143514	1.35684996893426	31599.0	117.91820280918769	1.0	96.0	0.0	0.33257575475491236	4451.819276571274	665.7023479938507	471.6972997711292	3245.1474747657776	540.9694538116455	566.111147762501	44.0	2143363.0
2157083	10.0	6170.0	22957.5	301.6158050193327	4.7	342.5	0.375	0.8074039614360864	1.0	0.0	0.0	0.0013505407870019017	0.0013505407870019017	0.00836287829931606	91.73242523985095	0.5986533132645323	92.33107852935792	23.084120111645397	1.3542162500462447	31807.0	192.0050955779804	4.2	145.0	0.1	0.5396905260499626	4484.715201377869	671.1276562213898	470.0461932624284	3269.2582397460938	544.3293054103851	565.6309116961653	43.0	2157083.0
2169503	10.0	6210.0	23129.0	275.83877889183987	5.05	310.0	0.425	0.7900637469108751	0.837470449172577	0.23404255319148937	-0.0008008604620935077	-0.0003874455851086596	-0.0007220874535347526	0.005337597884948641	105.27789367513455	0.7053513859814786	105.98324544379051	26.49508930267172	1.3507140754385203	31997.0	177.60990453873103	5.5	139.0	0.0	0.5267539625816486	4509.977192401886	675.114070892334	469.34290612724067	3287.5133798122406	547.3497416973114	565.7315349357239	42.0	2169503.0
2181187	10.0	6250.0	23339.5	247.93834498941106	4.75	291.5	0.35	0.6939465576292725	1.0	0.0	0.0	-0.0006448758691678651	-0.0006448758691678651	0.005913882906699859	106.91903796725805	0.8983659000860321	107.81740341186529	26.953705978393568	1.3466717806127337	32179.0	146.55134000370407	2.1	114.0	0.0	0.488797045251898	4535.522106170654	677.7513973712921	469.19858997471056	3307.5691804885864	550.2015283107758	565.400892029387	41.0	2181187.0
